Date,Open,High,Low,Close,Adj Close,Volume
2008-09-01,687.064026,712.690002,635.328979,690.448975,381.961792,190815284
2008-10-01,696.250977,706.405029,513.968994,680.294983,376.344635,312861649
2008-11-01,690.448975,723.810974,602.450012,654.185974,361.900879,241784109
2008-12-01,644.999023,672.075989,571.021973,661.437988,365.91275,171146034
2009-01-01,661.437988,693.349976,594.713989,626.625977,354.213623,160127314
2009-02-01,626.625977,645.966003,589.395996,605.835022,342.46109,120266970
2009-03-01,598.098999,601.482971,498.013,517.836975,292.718323,211262927
2009-04-01,510.584015,549.265015,494.144989,545.880005,308.570313,160393762
2009-05-01,556.033997,596.64801,529.924011,578.758972,327.155792,145080471
2009-06-01,587.945007,589.879028,509.132996,529.440979,299.27771,181550924
2009-07-01,533.791992,565.219971,508.165985,540.078003,317.89212,163473088
2009-08-01,542.979004,586.978027,533.390991,572.955994,337.244171,98284189
2009-09-01,570.054993,607.284973,560.869019,584.077026,343.79007,123908078
2009-10-01,583.593994,595.68103,553.616028,586.494995,345.213348,152398524
2009-11-01,586.494995,648.867004,579.242004,638.713013,375.949036,131347330
2009-12-01,640.164001,660.955017,615.505005,656.603027,386.479218,110261366
2010-01-01,656.603027,662.888977,607.284973,610.187012,366.911713,130118828
2010-02-01,610.669983,631.94397,599.065979,630.494019,379.122559,98573568
2010-03-01,632.427979,643.065002,607.768982,620.340027,373.016846,111413065
2010-04-01,622.757996,644.031982,605.351013,608.252991,365.748901,91549045
2010-05-01,608.252991,626.142029,526.14502,544.690979,327.528412,268859529
2010-06-01,539.781982,566.72699,517.963989,535.635986,322.083496,413107486
2010-07-01,530.508972,569.455017,523.963989,555.817993,350.066101,235692047
2010-08-01,560.182007,600.544983,556.908997,598.908997,377.205658,161432045
2010-09-01,601.091003,616.364014,585.27301,589.091003,371.022095,138005429
2010-10-01,588.544983,651.27301,585.27301,643.635986,405.375793,145234342
2010-11-01,647.455017,655.091003,617.455017,619.635986,390.26004,131143593
2010-12-01,613.091003,643.635986,587.044983,603.27301,379.954315,143492332
2011-01-01,621.817993,636.544983,568.908997,602.72699,387.681305,207931259
